"","year","Tree.Num","lfstate0first","lfstate1first","lfstate2first","lfstate3first","lfstate0last","lfstate1last","lfstate2last","lfstate3last","catstate0first","catstate1first","catstate2first","catstate3first","catstate4first","flstate0first","flstate1first","flstate2first","flmaxstate","AcornDate","Count1","Count2","MnAcorns","lat","long","1","2","3","4","5","6","7","8","9","10","11","12"
"118",2009,39,"1/20/09","3/25/09","3/31/09","4/22/09","3/17/09","4/22/09","4/14/09","6/9/09","1/20/09","3/25/09","4/14/09","3/31/09","4/14/09","1/20/09","3/31/09","4/14/09",2,"9/29/09",0,0,0,34.69772,-120.03999,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"119",2009,130,"1/20/09","3/25/09","3/25/09","4/14/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/14/09",2,"9/29/09",0,0,0,34.70752,-120.03975,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"120",2009,133,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",0,0,0,34.70678,-120.03986,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"121",2009,134,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09","3/31/09","3/25/09","1/20/09",NA,"3/25/09",2,"9/29/09",0,0,0,34.70581,-120.04142,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"122",2009,140,"1/20/09","3/10/09","3/17/09","4/9/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09","3/25/09","3/31/09","1/20/09","3/25/09","3/31/09",2,"9/29/09",0,1,0.5,34.70482,-120.04069,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"123",2009,146,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09",NA,"3/25/09","1/20/09","3/25/09",NA,1,"9/29/09",1,0,0.5,34.70359,-120.04326,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"124",2009,147,"1/20/09","3/10/09","3/10/09","3/25/09","3/3/09","3/31/09","4/9/09","6/9/09","1/20/09","3/3/09","3/17/09","3/10/09","3/25/09","1/20/09","3/17/09","3/25/09",2,"9/29/09",14,14,14,34.70362,-120.04308,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"125",2009,148,"1/20/09",NA,"3/25/09","4/9/09","6/9/09",NA,"3/31/09","6/9/09","1/20/09",NA,"3/25/09",NA,"4/9/09","1/20/09",NA,NA,0,"9/29/09",0,0,0,34.70362,-120.04296,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"126",2009,151,"1/20/09","2/24/09","3/10/09","3/25/09","2/18/09","3/31/09","4/9/09","6/9/09","1/20/09","2/18/09","3/3/09","3/17/09","3/25/09","1/20/09","3/10/09","3/25/09",2,"9/29/09",14,11,12.5,34.70382,-120.04262,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"127",2009,152,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","3/31/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09","3/25/09","3/31/09","1/20/09","3/17/09","3/31/09",2,"9/29/09",15,17,16,34.70428,-120.04262,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"128",2009,153,"1/20/09","3/17/09","3/25/09","3/31/09","6/9/09","4/9/09","4/14/09","6/9/09","1/20/09","3/17/09","3/25/09","3/31/09","4/9/09","1/20/09",NA,NA,0,"9/29/09",4,3,3.5,34.70422,-120.04241,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"129",2009,156,"1/20/09","3/10/09","3/17/09","3/31/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/31/09","3/17/09","4/9/09","1/20/09","3/25/09","4/9/09",2,"9/29/09",4,3,3.5,34.70398,-120.04222,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"130",2009,157,"1/20/09","3/10/09","3/25/09","4/9/09","3/17/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/25/09",NA,"3/31/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",0,0,0,34.70289,-120.04078,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"131",2009,161,"1/20/09","3/25/09","3/25/09","4/22/09","3/17/09","4/22/09","4/28/09","6/9/09","1/20/09","3/25/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",0,0,0,34.7011,-120.03984,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"132",2009,162,"1/20/09","3/31/09","3/31/09","4/14/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","3/31/09","4/9/09","4/14/09","1/20/09",NA,NA,0,"9/29/09",3,0,1.5,34.69974,-120.03992,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"133",2009,163,"1/20/09","3/25/09","3/25/09","4/9/09","3/17/09","4/22/09","4/28/09","6/9/09","1/20/09","3/25/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",8,5,6.5,34.69967,-120.03973,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"134",2009,165,"1/20/09","3/3/09","3/10/09","3/31/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09","3/25/09","3/31/09","1/20/09","3/17/09","3/31/09",2,"9/29/09",30,15,22.5,34.69664,-120.03912,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"135",2009,166,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/14/09","3/31/09","6/9/09","1/20/09","3/17/09","4/9/09","3/25/09","4/9/09","1/20/09","3/25/09","3/31/09",2,"9/29/09",0,5,2.5,34.69642,-120.03977,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
